window_id,start_time,end_time,total_packets,total_bytes,avg_packet_size,avg_payload_size,packet_rate,small_packet_ratio,syn_count,ack_count,fin_count,label
76,1698376143.407962,1698376143.907962,1749,284486.0,162.6563750714694,94.4333905088622,3498.0,0.7804459691252144,381,1368,0,1
77,1698376143.907962,1698376144.407962,362,67598.0,186.73480662983425,118.12707182320442,724.0,0.7265193370165746,100,262,0,1
78,1698376144.407962,1698376144.907962,102,19733.0,193.4607843137255,125.22549019607843,204.0,0.7156862745098039,24,78,0,1
79,1698376144.907962,1698376145.407962,11,2721.0,247.36363636363637,177.0,22.0,0.5454545454545454,0,11,0,1
80,1698376145.407962,1698376145.907962,21,3461.0,164.8095238095238,92.71428571428571,42.0,0.7619047619047619,7,14,0,1
81,1698376145.907962,1698376146.407962,5,1015.0,203.0,132.2,10.0,0.6,0,5,0,1
82,1698376146.407962,1698376146.907962,8,1862.0,232.75,160.75,16.0,0.625,0,8,0,1
83,1698376146.907962,1698376147.407962,99,6618.0,66.84848484848484,0.0,198.0,1.0,0,99,0,1
84,1698376147.407962,1698376147.907962,100,7171.0,71.71,3.75,200.0,0.99,8,92,0,1
85,1698376147.907962,1698376148.407962,220,18182.0,82.64545454545454,15.209090909090909,440.0,0.9636363636363636,5,215,0,1
86,1698376148.407962,1698376148.907962,125,9981.0,79.848,3.0,250.0,0.992,0,125,0,1
87,1698376148.907962,1698376149.407962,183,16411.0,89.6775956284153,19.852459016393443,366.0,0.9562841530054644,5,178,0,1
88,1698376149.407962,1698376149.907962,57,4859.0,85.24561403508773,16.43859649122807,114.0,0.9649122807017544,2,55,0,1
89,1698376149.907962,1698376150.407962,301,21902.0,72.7641196013289,0.0,602.0,1.0,3,298,0,1
90,1698376150.407962,1698376150.907962,53,6575.0,124.05660377358491,52.0188679245283,106.0,0.8867924528301887,4,49,0,1
91,1698376150.907962,1698376151.407962,212,16888.0,79.66037735849056,8.433962264150944,424.0,0.9811320754716981,1,211,0,1
